Feature,Description,Module,Priority,Status,Backlog expected duration (Days),Backlog start date,Backlog finished date
Ticket detail banner redesign,"Hero rebuilt: severity/status/emergency promoted to the first line and enlarged, ticket ID as the headline, action bar given a deterministic full-width row (buttons no longer relocate when a stale-report warning appears), Incident/Event demoted to eyebrow text, OLA badge added, and Critical-on-emergency contrast fixed with a white ring.",Ticket Lifecycle,Unplanned,✅ Done,1,2026-08-10,2026-08-10
Remove triage ticket-creation confirmation,"Dropped the mandatory category + justification modal that stood between a claimed Wazuh alert and the ticket form. Creating a ticket is the only forward move at triage, so there was no decision to justify; the Ticket / Project Incident routing fork became two direct buttons. Critical triage OLA is 30 min measured from incident time, so the modal was spending that budget.",Triage,Unplanned,✅ Done,1,2026-08-10,2026-08-10
Ticket edit gating and Tier 2 claim visibility,"Edit now honours the Tier 2 claim (transition_to already did, the edit surface did not, so a second analyst could rewrite content the claimer was reading). Added an out-of-court warning naming the current holder, and surfaced claim state plus a one-click Claim button on ticket detail so claims are visible without a queue round-trip.",Accounts & Permissions,Unplanned,✅ Done,2,2026-08-10,2026-08-11
My Queue tabbed redesign,"Three tabs with live counts replace three stacked cards; the manual-intake queue previously sat ~1100px down, below the fold. Ticket table paginated at 10 (this was the only queue in the app without a Paginator). Tab state survives claim/release/dismiss so an analyst is not bounced out mid-triage.",Ticket Lifecycle,Unplanned,✅ Done,1,2026-08-11,2026-08-11
Project Incident feature improvements,"Member tickets can be stepped back again (previously refused with an error pointing at a page that had no such control, and a stepped-back member would have stranded with no forward path). Shared evidence brought to full parity with ticket attachments: post-creation upload, soft delete with reason, manager restore, hardened download. OLA added to the group page, lead facts made deterministic across viewers, manual-triage provenance surfaced.",Case / Project Management,Unplanned,✅ Done,1,2026-08-13,2026-08-13
Executive dashboard bundle rollup,"A multi-system Project Incident counted as N incidents in executive KPIs. Headline counts, MoM delta, closure rate and active-emergency now count a bundle once; status-grain rows (OLA, court, pipeline) deliberately stay per-ticket. fact_ticket now exposes bundle identity and agg_ticket_daily.incident_count is deduped.",Dashboard & KPIs,Unplanned,✅ Done,1,2026-08-13,2026-08-13
Tier 2 Queue UI improvement,"Filter pills with live counts replace dropdowns plus submit button, so the stage split is visible without filtering three times; sort auto-submits. Table narrowed 1115px to 977px (fits 1280px laptops) by dropping the Emergency column, merging Tier 1 into the system cell and constraining the description width. Added bundle indicator and relative queue age.",Escalation & Manager,Unplanned,✅ Done,1,2026-08-13,2026-08-13
Wazuh Triage queue controls and pagination fix,"Same pill-with-counts treatment applied for consistency. Fixed a genuine dead end: the paginator rendered a page counter with no prev/next links at all, so beyond 25 alerts pages 2+ were unreachable. Removed three dead context variables computed on every request.",Triage,Unplanned,✅ Done,1,2026-08-13,2026-08-13
IOC / global search rewrite,"Searching an exact ticket number returned every ticket in the database: ts_rank returns 1e-20 rather than 0 for a non-match, so the rank>0 predicate was true for every row. Replaced Postgres full-text with substring matching, which also makes partial ticket IDs, subnet prefixes and Thai text searchable (full-text collapses a space-less Thai run into one lexeme). Fixed the Triage Records card showing to non-SOC roles; added real pagination and honest totals.",Search & Audit,Unplanned,✅ Done,1,2026-08-13,2026-08-13
Direct-to-Owner lane simplification,"Verification consolidated to Tier 2: Tier 1 had a second verdict-shaped step that asked the same question it had answered one screen earlier. Lane then collapsed to a single Tier 1 relay action, with Tier 1 granted upload rights while awaiting the owner (previously only the system owner could attach, and owners never log in, so nobody could).",Containment & Remediation,Unplanned,✅ Done,1,2026-08-13,2026-08-13
Project Incident list page,"No index exists; a bundle is reachable only via a member ticket badge or a direct URL. Cannot answer 'which bundles are open'. Declined 2026-08-13 on sidebar-clutter grounds; recorded in case it resurfaces.",Case / Project Management,P3,⬜ Backlog,,,
Bundle reference in exported report,"Exported DOCX/PDF never states that a ticket belongs to a Project Incident, so five member reports read as five standalone incidents. Needs the context dict, the build script and the committed binary template changed in lockstep (two tests enforce this).",Reporting,P3,⬜ Backlog,,,
