Summary,Date,Role/Source,Screen/State,Type,Severity,Description,Expected,Status,Resolution
Attached files lost when the page changes,2026-08-05,Tier 1,Create Ticket,Bug,Major,"Evidence attached to the create-ticket form was discarded whenever the form re-rendered (e.g. a validation error). TicketAttachment rows were only created inside the success branch, so the uploaded bytes never touched disk.","Files the analyst already uploaded survive a validation error and are attached to the ticket on the retry.",Fixed,"Server-side staging: new StagedAttachment model + apps/incidents/staging.py. Uploads persist BEFORE form validation, are shown back as 'held for you' chips, and are adopted onto the ticket on success. Migration incidents/0054. A browser cannot repopulate a file input after a page load, so only server-side retention can fix this."
Attaching files from a second folder wipes the first batch,2026-08-05,Tier 1,Create Ticket,Bug,Major,"A second trip through the file picker replaced the whole selection instead of adding to it. There was no JavaScript managing file inputs anywhere in the codebase.","Picks from multiple folders accumulate; the analyst can see and individually remove what is attached.",Fixed,"New _evidence_picker.html + _evidence_picker_js.html: a DataTransfer-based accumulating picker with a removable chip list, per-file type/size checks and a running total. Also raised nginx client_max_body_size 26M -> 128M, since an oversized batch was previously rejected with a bare 413 before Django ran."
Ticket-detail upload only accepted one file at a time,2026-08-05,Tier 1,Ticket Detail,Requirement,Minor,"AttachmentForm accepted exactly one file per POST, while most evidence is added after the ticket exists.","Multiple files can be uploaded in one go, sharing a single description.",Fixed,"Added MultipleFileField / MultipleFileInput; upload_attachment now loops the cleaned list. Invalid files are named individually rather than a generic error."
System Admin can view and export the incident report,2026-08-06,System Admin,Ticket Detail,Requirement,Major,"Report access was governed entirely by Ticket.objects.visible_to() with no report-specific permission, and the three report buttons were completely ungated. Exporting also WROTE to the ticket (report_generated_by / report_sha256 / stale-report watermark), so a party to the incident could overwrite the SOC's provenance record.","The incident report is a SOC deliverable. Roles that merely appear in a case should not be able to mint or regenerate it.",Fixed,"New _can_access_ticket_report(): SOC + superuser only, raising 404. System Admin, System Owner, Forensic and Red Team Manager all lost preview/DOCX/PDF. Buttons gated via a can_access_report flag; stale-report badge gated too. Their other controls (containment form, attachments, transitions) are untouched."
Section 8 of the Incident Report carries an unnecessary checklist,2026-08-06,SOC Manager,Incident Report,Requirement,Minor,"Section 8 printed a fixed 15-item remediation checklist that was static boilerplate: always rendered unticked and driven by no ticket field. Section 6 already carries a real data-driven containment checklist.","Section 8 shows only its two real data rows (Investigation Findings, Countermeasure).",Fixed,"Removed REMEDIATION_CHECKLIST from report_content.py, reports.py, the HTML/PDF template and the DOCX builder. Template rebuilt and verified: all 15 items gone, zero ballot-box glyphs. Added a test asserting the committed .docx no longer contains the strings, since the existing test compares only {{placeholders}} and would miss a stale rebuild."
Incident Report should match the NT paper form layout,2026-08-06,SOC Manager,Incident Report,Requirement,Minor,"Comparison against a filled INC-2026-00019 form showed differences in banner text, row numbering, checkbox ordering, date format and a missing IoC row.","Report visually aligns with the NT form the SOC files alongside it.",Fixed,"Banner -> 'INCIDENT REPORT: Containment'; section 1 rows numbered 1.1-1.20; checkbox options reordered low->high; Thai Buddhist dates (2 / ก.ค. / 69 11:00 น.) on the section-1 date rows only; new Ticket.ioc_user field + 'User' row in section 4 (migration 0055); Hardening contact added to the coordination note; fixed a pre-existing DOCX/PDF drift where the 'ข้อ ๑' appendix heading was missing from HTML. NOTE: section-1 numbers run over our wider row set, so they deliberately do NOT correspond one-for-one with the NT form's 1.1-1.18."
Anyone can delete attached files with no confirmation,2026-08-06,All,Ticket Detail,Bug,Major,"Deletion was one click with no confirmation. Any SOC member could delete any attachment on any ticket, including on a CLOSED/APPROVED case, and the create-form staged chip hard-deleted the file with no audit at all. The soft delete had no restore path in the product.","Evidence removal is deliberate, attributable, reversible, and impossible once a case is closed.",Fixed,"Narrowed to uploader + SOC Manager; added the TERMINAL_STATUSES gate every other evidence action already had; mandatory reason stored on deleted_reason and in the TicketLog note; confirmation modal; staged discard became recoverable with an undo; SOC-Manager restore UI. Also versioned timeline-note edits (TicketLogRevision + 'แก้ไขแล้ว' badge) because a deletion's only audit trace could previously be rewritten by the person who deleted it. Migration incidents/0056."
Decisions cannot be undone and submitted content cannot be edited,2026-08-07,SOC Manager,Workflow,Requirement,Major,"Four decisions were genuinely one-way: closure, the SOC Manager's forward at PENDING_MGR_TRIAGE, Tier 2's reclassify-to-Event close, and manager approval. Separately there was NO ticket edit view at all, so Tier 1 content could only ever be corrected by Tier 2 during ESCALATED_T2. Where editing existed it was destructive (containment reports overwritten, subtask result notes overwritten with no log).","Mistakes can be corrected with an audit trail; closed cases stay closed.",Fixed,"Three phases. (1) TicketFieldChange + apps/incidents/history.py recording field/old/new/author, hooked into Tier 2 review, containment resubmit and subtask notes. (2) edit_ticket view + TicketEditForm - creator while NEW, SOC after, closed frozen; cannot change status or route. (3) Ticket.step_back() - SOC Manager only, mandatory reason, PENDING_MANAGER resolves its target from t1_route. APPROVED and CLOSED_EVENT remain terminal. Migration incidents/0057."
CSP test is stricter than CSP requires,2026-08-07,Facilitator,Ticket Detail,Question,Minor,"test_no_inline_script_on_the_page_is_missing_a_nonce rejects ANY nonce-less <script>, including Django's json_script data blocks, which are inert and never executed. The two existing json_script calls at ticket_detail.html:401-402 only pass because they render inside a conditional the test's ticket does not hit.","Decide whether json_script data blocks should be exempt from the nonce assertion.",Open,"Worked around by hand-serialising the attachment limits with a private escape table. Worth resolving deliberately rather than leaving a 7th, different mechanism for handing data to scripts."
Batch size cap not enforced on ticket-detail uploads,2026-08-07,Facilitator,Ticket Detail,Bug,Minor,"MAX_ATTACHMENT_BATCH_SIZE is enforced in stage_uploads (create flow) but MultipleFileField.clean checks per-file rules only. The picker advertises the cap identically on all three pages, so on ticket detail it is client-side only and bypassable with JS disabled.","All three upload surfaces enforce the same batch rule server-side.",Open,"Not fixed: closing it changes behaviour (detail-page uploads would start being capped), so it needs a decision rather than a silent refactor. Suggested fix is a shared validate_attachment_batch() in models.py beside validate_attachment."
step_back bypasses the state machine,2026-08-07,Facilitator,Workflow,Requirement,Minor,"Ticket.step_back() deliberately bypasses ALLOWED_TRANSITIONS and hand-rolls its own status write plus log entry, so every invariant transition_to() maintains must be remembered twice. This already caused one bug: status_changed_at was not being stamped, so stepped-back tickets showed their original queue age and sorted wrongly.","Backward moves go through the same machinery as forward ones.",Deferred,"Symptom fixed (step_back now stamps status_changed_at and clears the T2 claim). The structural fix - adding these edges to ALLOWED_TRANSITIONS with a MANAGER_STEP_BACK permission token and reducing step_back to a transition_to call - is a state-machine redesign and was left for a scheduled piece of work. This is the one I would actively recommend scheduling."
